id,name,created_at,updated_at,evidence_sources,primary_evidence,secondary_evidence,common_tools
1721b991-e491-4953-b2bb-ca35d815024f,Cloud & Infrastructure,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Cloud platforms,"Config exports, access logs, drift reports, posture scores","Architecture diagrams, change history, benchmark reports","AWS, Azure, GCP, Terraform, Wiz"
9d0664c1-06c2-4b4c-98d2-5fba04048aba,Cloud & Infrastructure,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,CSPM,"Config exports, access logs, drift reports, posture scores","Architecture diagrams, change history, benchmark reports","AWS, Azure, GCP, Terraform, Wiz"
d0686441-6133-40e4-a81b-791e436c84c8,Cloud & Infrastructure,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,IaC,"Config exports, access logs, drift reports, posture scores","Architecture diagrams, change history, benchmark reports","AWS, Azure, GCP, Terraform, Wiz"
3b294395-2a28-43c3-9ba4-63e098ea7411,Compliance & GRC,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Audit tools,"Approved policies, risk registers, audit findings, control test results","Exception logs, remediation tracking, risk scoring history","Vanta, Drata, ServiceNow GRC, AuditBoard"
70b4419c-8544-47be-9f13-bc21356bd897,Compliance & GRC,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Policy,"Approved policies, risk registers, audit findings, control test results","Exception logs, remediation tracking, risk scoring history","Vanta, Drata, ServiceNow GRC, AuditBoard"
6789a69f-f09b-47fe-b530-7f9b92c45387,Compliance & GRC,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Risk,"Approved policies, risk registers, audit findings, control test results","Exception logs, remediation tracking, risk scoring history","Vanta, Drata, ServiceNow GRC, AuditBoard"
f3c7a9d4-8e21-4b6f-9c3a-2d5e7f8a1b90,CSPM,2026-03-27 07:09:51.429737,2026-03-31 05:46:58.667701,Cloud platforms,"Config exports, access logs, drift reports, posture scores","Architecture diagrams, change history, benchmark reports","AWS, Azure, GCP, Terraform, Wiz"
9e59eb4a-8421-4771-932a-452c283bffca,CSPM,2026-03-27 07:09:51.429737,2026-03-31 05:46:58.667701,CSPM,"Config exports, access logs, drift reports, posture scores","Architecture diagrams, change history, benchmark reports","AWS, Azure, GCP, Terraform, Wiz"
2e528181-726b-4ab9-b068-23b8a2ba7278,CSPM,2026-03-27 07:09:51.429737,2026-03-31 05:46:58.667701,IaC,"Config exports, access logs, drift reports, posture scores","Architecture diagrams, change history, benchmark reports","AWS, Azure, GCP, Terraform, Wiz"
18d8f326-29a0-40a5-9f80-083b6655ba64,DevOps & DevSecOps,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,CI/CD,"Commit history, build logs, code scan results, secrets detection logs, image scan results","PR approvals, rollback logs, dependency reports, pipeline configs","GitHub, Jenkins, Snyk, SonarQube, Trivy"
b41715e2-49ca-4baa-9bc1-a79eff475ed0,DevOps & DevSecOps,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Containers,"Commit history, build logs, code scan results, secrets detection logs, image scan results","PR approvals, rollback logs, dependency reports, pipeline configs","GitHub, Jenkins, Snyk, SonarQube, Trivy"
1d4f68b3-b37f-4f8b-89c9-0765df79a701,DevOps & DevSecOps,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,SAST/DAST,"Commit history, build logs, code scan results, secrets detection logs, image scan results","PR approvals, rollback logs, dependency reports, pipeline configs","GitHub, Jenkins, Snyk, SonarQube, Trivy"
dab42b3d-3c00-413d-84dd-41494317831e,DevOps & DevSecOps,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Secrets,"Commit history, build logs, code scan results, secrets detection logs, image scan results","PR approvals, rollback logs, dependency reports, pipeline configs","GitHub, Jenkins, Snyk, SonarQube, Trivy"
6874f3ab-44fc-4b3e-a95e-bd01e03bf933,DevOps & DevSecOps,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Source control,"Commit history, build logs, code scan results, secrets detection logs, image scan results","PR approvals, rollback logs, dependency reports, pipeline configs","GitHub, Jenkins, Snyk, SonarQube, Trivy"
465c7082-4a36-4567-b535-e6fe16994eec,HRMS,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,HRMS,"Joiner/mover/leaver records, offboarding checklists, task approvals","Headcount reports, org chart exports, milestone logs","Workday, BambooHR, Rippling, Jira"
f5e70052-d8ee-4e2b-afe3-872d12e2e44a,HRMS,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Project management,"Joiner/mover/leaver records, offboarding checklists, task approvals","Headcount reports, org chart exports, milestone logs","Workday, BambooHR, Rippling, Jira"
311fd3a8-255b-4bc8-b6a0-0fe625d81341,Identity & Access Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,IAM,"User provisioning logs, role assignments, access reviews, PAM session logs","Orphaned account reports, privilege summaries, recertification records","Okta, Azure AD, JumpCloud, CyberArk"
efb3a01c-90e5-49a0-bd94-10fbdef43539,Identity & Access Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,IGA,"User provisioning logs, role assignments, access reviews, PAM session logs","Orphaned account reports, privilege summaries, recertification records","Okta, Azure AD, JumpCloud, CyberArk"
f78d8968-5368-425b-82d3-0ac49e6d1219,Identity & Access Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,PAM,"User provisioning logs, role assignments, access reviews, PAM session logs","Orphaned account reports, privilege summaries, recertification records","Okta, Azure AD, JumpCloud, CyberArk"
8ceb7d0d-488a-4c8c-bfae-7c675779fb0c,IT Service Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Change,"Incident tickets, change approvals, SLA records, root cause docs","MTTR reports, change success rates, postmortem records","ServiceNow, Jira, PagerDuty, Freshservice"
cd4015e2-8a3f-4f54-a3ee-9dfddb048f84,IT Service Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Incident,"Incident tickets, change approvals, SLA records, root cause docs","MTTR reports, change success rates, postmortem records","ServiceNow, Jira, PagerDuty, Freshservice"
aff6ee6a-65b7-4698-808a-6a1db5c04e69,IT Service Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Problem management,"Incident tickets, change approvals, SLA records, root cause docs","MTTR reports, change success rates, postmortem records","ServiceNow, Jira, PagerDuty, Freshservice"
2e615251-860d-4f37-9c1e-7334b67fdff4,Physical Security,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Access control,"Badge access logs, entry/exit records, CCTV retention configs","Visitor logs, after-hours reports, camera health records","Verkada, Genetec, Brivo"
5bc23be9-9618-4a5e-a57c-f0c142ac2ee6,Physical Security,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Surveillance,"Badge access logs, entry/exit records, CCTV retention configs","Visitor logs, after-hours reports, camera health records","Verkada, Genetec, Brivo"
55890cf9-a72e-4a13-a9bd-2da8d02d8968,Project Management / Productivity,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,HRMS,"Joiner/mover/leaver records, offboarding checklists, task approvals","Headcount reports, org chart exports, milestone logs","Workday, BambooHR, Rippling, Jira"
6e818007-27fb-4b5f-8eb8-c08b699202de,Project Management / Productivity,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Project management,"Joiner/mover/leaver records, offboarding checklists, task approvals","Headcount reports, org chart exports, milestone logs","Workday, BambooHR, Rippling, Jira"
4860448e-6473-4de3-8d65-e458e9318233,Security Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Endpoint,"Scan reports, SIEM alerts, EDR policy configs, remediation tickets","Trend reports, patch compliance, asset coverage, threat detection logs","Tenable, Splunk, CrowdStrike, Sentinel"
901fabd1-a175-48e0-bc5a-1ff002d528b4,Security Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,SIEM,"Scan reports, SIEM alerts, EDR policy configs, remediation tickets","Trend reports, patch compliance, asset coverage, threat detection logs","Tenable, Splunk, CrowdStrike, Sentinel"
cd545de5-0565-447b-89ef-f137d2267a70,Security Management,2026-03-26 17:24:41.459173,2026-03-31 05:46:58.667701,Vuln management,"Scan reports, SIEM alerts, EDR policy configs, remediation tickets","Trend reports, patch compliance, asset coverage, threat detection logs","Tenable, Splunk, CrowdStrike, Sentinel"
