domain_id	domain_name	code	evidence_name
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-115	Vendor Inventory Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-116	Vendor Data Classification Records — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-16	Asset Inventory Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-17	Asset Ownership Records — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-243	Data Classification Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-248	Sensor System Configuration Records — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-28	Asset Return Records — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-295	Data Asset Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-299	Asset Disposal Records — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-326	AI System Inventory — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-377	Asset Maintenance Log — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-390	User Account Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-429	AI Dataset Inventory — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-433	AI Model Inventory — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-486	Badge Access System Administrator Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-491	Mobile Device Inventory Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-496	Surveillance Camera System Inventory — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-527	PII System Access Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-541	Data Inventory Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-547	Subprocessors Inventory Register — Cloud
1721b991-e491-4953-b2bb-ca35d815024f	Cloud / Infrastructure	EV-84	Asset Classification Records — Cloud
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-1	Data Backup Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-101	Software Development Lifecycle (SDLC) Procedure — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-107	Network Security Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-11	AI Responsible Use Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-111	Security Risk Assessment Reports — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-112	Human Resources Security Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-117	Employee Handbook — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-118	Code of Conduct Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-12	Data Protection Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-132	Encryption Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-133	Cryptographic Standards Document — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-134	Human Resources Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-135	Employee Performance Review Procedure — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-141	Penetration Test Reports — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-143	Recruitment and Hiring Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-148	Vendor Risk Management Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-149	Vendor Risk Assessment Records — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-15	Asset Management Policy — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-150	Role-Based Access Matrix — Compliance
70b4419c-8544-47be-9f13-bc21356bd897	Compliance / GRC	EV-152	Data Subject Request Handling Procedure — Compliance
